"","V1","V2"
"1187","a year and","a"
"1188","the late s","and"
"1189","so that you","can"
"1190","hope you are","having"
"1191","has been one","of"
"1192","to reach out","to"
"1193","i was the","only"
"1194","for minutes or","until"
"1195","in the state","of"
"1196","for a number","of"
"1197","on to the","next"
"1198","you i love","you"
"1199","in some of","the"
"1200","or may not","be"
"1201","is that it","is"
"1202","so far this","year"
"1203","and it is","a"
"1204","me know what","you"
"1205","the remainder of","the"
"1206","sometimes you have","to"
"1207","so happy to","be"
"1208","its time to","get"
"1209","to all my","new"
"1210","in a news","release"
"1211","the best of","the"
"1212","of the time","i"
"1213","im just trying","to"
"1214","good news is","that"
"1215","there is only","one"
"1216","to tell you","that"
"1217","at the white","house"
"1218","on either side","of"
"1219","of the rest","of"
"1220","i did not","know"
"1221","glad you enjoyed","it"
"1222","there has been","a"
"1223","thats one of","the"
"1224","happy st patricks","day"
"1225","thats a good","thing"
"1226","i wanna go","to"
"1227","so far so","good"
"1228","in time for","the"
"1229","for the fact","that"
"1230","to stay in","the"
"1231","is a member","of"
"1232","all i want","is"
"1233","i think you","should"
"1234","i couldnt help","but"
"1235","trying to find","a"
"1236","had to go","to"
"1237","of my favorite","things"
"1238","now that i","have"
"1239","and roll hall","of"
"1240","in item c","above"
"1241","of the people","who"
"1242","part of the","reason"
"1243","i have decided","to"
"1244","how have you","been"
"1245","are more likely","to"
"1246","everyone who came","out"
"1247","us know if","you"
"1248","can you follow","me"
"1249","so i can","go"
"1250","and it would","be"
"1251","president of the","united"
"1252","it was like","a"
"1253","have a wonderful","day"
"1254","what can i","say"
"1255","the shit out","of"
"1256","will be held","at"
"1257","we are trying","to"
"1258","and i know","that"
"1259","if they want","to"
"1260","you can make","it"
"1261","think like a","man"
"1262","see a lot","of"
"1263","the time i","was"
"1264","with a time","of"
"1265","am i supposed","to"
"1266","in the eyes","of"
"1267","is the best","way"
"1268","thats a lot","of"
"1269","i dont understand","why"
"1270","right thing to","do"
"1271","in favor of","the"
"1272","you are interested","in"
"1273","go out there","and"
"1274","for some of","the"
"1275","and i think","it"
"1276","that we need","to"
"1277","in an interview","with"
"1278","keep in mind","that"
"1279","i am working","on"
"1280","the hall of","fame"
"1281","the first three","months"
"1282","on its way","to"
"1283","a third of","the"
"1284","of the block","of"
"1285","felt like i","was"
"1286","we want to","be"
"1287","not be reached","for"
